Pos,Player ,,,,,
WR,Demaryius Thomas+,,,,,
WR,Emmanuel Sanders+,,,,,
WR,Dez Bryant+,,,,,
WR,Larry Fitzgerald%,,,,,
WR,A.J. Green%,,,,,
WR,T.Y. Hilton,,,,,
WR,Odell Beckham Jr.,,,,,
WR,Mike Evans,,,,,
WR,Antonio Brown%,,,,,
WR,Julio Jones%,,,,,
WR,Tyreek Hill,,,,,
WR,Antonio Brown,,,,,
WR,DeAndre Hopkins%,,,,,
WR,Julio Jones%,,,,,
WR,Michael Thomas,,,,,
WR,Adam Thielen,,,,,
WR,Keenan Allen,,,,,
WR,A.J. Green%,,,,,
WR,T.Y. Hilton+,,,,,
WR,Larry Fitzgerald%,,,,,
WR,Davante Adams+,,,,,
WR,Jarvis Landry+,,,,,
WR,Doug Baldwin+,,,,,
TE,Rob Gronkowski%,,,,,
TE,Travis Kelce%,,,,,
TE,Zach Ertz%,,,,,
TE,Jack Doyle+,,,,,
TE,Jason Witten+,,,,,
TE,Kyle Rudolph+,,,,,
TE,Delanie Walker+,,,,,
TE,Jimmy Graham%,,,,,
T,Lane Johnson%,,,,,
T,Andrew Whitworth+,,,,,
T,Taylor Lewan,,,,,
T,Trent Williams%,,,,,
T,Alejandro Villanueva,,,,,
T,Joe Staley+,,,,,
T,Duane Brown+,,,,,
T,Tyron Smith%,,,,,
T,Donald Penn%,,,,,
T,Russell Okung+,,,,,
ST,Budda Baker,,,,,
ST,Matthew Slater%,,,,,
ST,Brynden Trawick+,,,,,
SS,Harrison Smith+,,,,,
SS,Kevin Byard+,,,,,
SS,Micah Hyde%,,,,,
SS,Keanu Neal+,,,,,
SS,Reshad Jones,,,,,
SS,Landon Collins%,,,,,
SS,Malcolm Jenkins%,,,,,
RB,Todd Gurley,,,,,
RB,Le'Veon Bell,,,,,
RB,Alvin Kamara,,,,,
RB,Kareem Hunt,,,,,
RB,LeSean McCoy,,,,,
RB,Mark Ingram,,,,,
QB,Tom Brady%,,,,,
QB,Carson Wentz%,,,,,
QB,Alex Smith+,,,,,
QB,Drew Brees,,,,,
QB,Ben Roethlisberger,,,,,
QB,Derek Carr+,,,,,
QB,Jared Goff+,,,,,
QB,Philip Rivers%,,,,,
QB,Russell Wilson,,,,,
PR,Pharoh Cooper,,,,,
PR,Tyreek Hill,,,,,
P,Johnny Hekker,,,,,
P,Brett Kern,,,,,
OLB,Thomas Davis+,,,,,
OLB,Terrell Suggs,,,,,
OG,Brandon Scherff%,,,,,
NT,Geno Atkins,,,,,
LS,Clark Harris,,,,,
LS,Jake McQuaide,,,,,
LB,Bobby Wagner%,,,,,
LB,Luke Kuechly%,,,,,
LB,Chandler Jones,,,,,
LB,Von Miller,,,,,
LB,Ryan Shazier%,,,,,
LB,Ryan Kerrigan,,,,,
LB,Deion Jones+,,,,,
LB,Telvin Smith+,,,,,
LB,C.J. Mosley,,,,,
LB,Joe Schobert+,,,,,
LB,Anthony Barr%,,,,,
LB,Khalil Mack%,,,,,
LB,Kwon Alexander+,,,,,
K,Greg Zuerlein%,,,,,
K,Graham Gano+,,,,,
K,Chris Boswell,,,,,
G,David DeCastro,,,,,
G,Zack Martin%,,,,,
G,Brandon Brooks%,,,,,
G,Kelechi Osemele,,,,,
G,Richie Incognito,,,,,
G,Trai Turner+,,,,,
G,T.J. Lang+,,,,,
G,Larry Warford+,,,,,
FS,Earl Thomas,,,,,
FS,Eric Weddle,,,,,
FB,James Develin%,,,,,
FB,Roosevelt Nix+,,,,,
FB,Kyle Juszczyk,,,,,
DT,Aaron Donald%,,,,,
DT,Fletcher Cox%,,,,,
DT,Malik Jackson,,,,,
DT,Mike Daniels+,,,,,
DT,Linval Joseph+,,,,,
DT,Jurrell Casey,,,,,
DT,Gerald McCoy,,,,,
DE,Cameron Jordan,,,,,
DE,Calais Campbell%,,,,,
DE,Everson Griffen%,,,,,
DE,Cameron Heyward+,,,,,
DE,DeMarcus Lawrence,,,,,
DE,Jadeveon Clowney%,,,,,
DE,Joey Bosa%,,,,,
DE,Yannick Ngakoue+,,,,,
DE,Melvin Ingram+,,,,,
DE,Michael Bennett+,,,,,
CB,Jalen Ramsey,,,,,
CB,Xavier Rhodes,,,,,
CB,Darius Slay,,,,,
CB,Casey Hayward,,,,,
CB,A.J. Bouye,,,,,
CB,Marshon Lattimore,,,,,
CB,Patrick Peterson,,,,,
CB,Aqib Talib,,,,,
C,Alex Mack,,,,,
C,Maurkice Pouncey,,,,,
C,Travis Frederick,,,,,
C,Rodney Hudson,,,,,
,,,,,,
,,,,,,
,,,,,,
C,Mike Pouncey,,,,,
C,Max Unger%,,,,,
C,Cody Whitehair+,,,,,
C,Alex Mack,,,,,
C,Maurkice Pouncey,,,,,
CB,Jalen Ramsey,,,,,
CB,Darius Slay,,,,,
CB,Chris Harris Jr.+,,,,,
CB,Denzel Ward,,,,,
CB,Xavien Howard,,,,,
CB,Patrick Peterson,,,,,
CB,Byron Jones,,,,,
CB,Stephon Gilmore%,,,,,
CB,Kyle Fuller,,,,,
DE,Melvin Ingram,,,,,
DE,Calais Campbell+,,,,,
DE,DeMarcus Lawrence,,,,,
DE,Cameron Jordan,,,,,
DE,Myles Garrett,,,,,
DE,Danielle Hunter,,,,,
DE,J.J. Watt%,,,,,
DT,DeForest Buckner+,,,,,
DT,Brandon Williams+,,,,,
DT,Cameron Heyward,,,,,
DT,Jurrell Casey%,,,,,
DT,Kawann Short+,,,,,
DT,Kyle Williams+,,,,,
DT,Akiem Hicks,,,,,
DT,Geno Atkins%,,,,,
DT,Aaron Donald%,,,,,
DT,Fletcher Cox%,,,,,
FB,Kyle Juszczyk,,,,,
FB,Anthony Sherman,,,,,
FS,Eric Weddle,,,,,
FS,Harrison Smith,,,,,
FS,Derwin James,,,,,
FS,Eddie Jackson,,,,,
G,David DeCastro%,,,,,
G,Larry Warford+,,,,,
G,Andrus Peat+,,,,,
G,Trai Turner,,,,,
G,Brandon Brooks%,,,,,
G,Marshal Yanda,,,,,
G,Joel Bitonio+,,,,,
G,Zack Martin%,,,,,
G,Quenton Nelson,,,,,
ILB,Benardrick McKinney,,,,,
ILB,Leighton Vander Esch+,,,,,
ILB,C.J. Mosley,,,,,
ILB,Luke Kuechly%,,,,,
ILB,Bobby Wagner,,,,,
K,Jason Myers,,,,,
K,Aldrick Rosas,,,,,
LS,Don Muhlbach,,,,,
LS,Casey Kreiter,,,,,
OLB,T.J. Watt+,,,,,
OLB,Olivier Vernon+,,,,,
OLB,Anthony Barr,,,,,
OLB,Dee Ford,,,,,
OLB,Jadeveon Clowney%,,,,,
OLB,Ryan Kerrigan,,,,,
OLB,Von Miller,,,,,
OLB,Khalil Mack%,,,,,
P,Brett Kern,,,,,
P,Michael Dickson,,,,,
PR,Tarik Cohen,,,,,
PR,Andre Roberts,,,,,
QB,Russell Wilson+,,,,,
QB,Philip Rivers%,,,,,
QB,Jared Goff%,,,,,
QB,Tom Brady%,,,,,
QB,Deshaun Watson+,,,,,
QB,Aaron Rodgers%,,,,,
QB,Dak Prescott+,,,,,
QB,Andrew Luck+,,,,,
QB,Mitchell Trubisky+,,,,,
QB,Drew Brees%,,,,,
QB,Patrick Mahomes,,,,,
RB,Melvin Gordon,,,,,
RB,James Conner,,,,,
RB,Lamar Miller+,,,,,
RB,Alvin Kamara+,,,,,
RB,Phillip Lindsay%,,,,,
RB,Ezekiel Elliott,,,,,
RB,Saquon Barkley,,,,,
RB,Todd Gurley%,,,,,
SS,Malcolm Jenkins+,,,,,
SS,Landon Collins%,,,,,
SS,Jamal Adams,,,,,
ST,Michael Thomas+,,,,,
ST,Cory Littleton%,,,,,
ST,Adrian Phillips,,,,,
T,Trent Williams%,,,,,
T,Alejandro Villanueva,,,,,
T,Lane Johnson+,,,,,
T,Eric Fisher,,,,,
T,Charles Leno Jr.+,,,,,
T,Jake Matthews+,,,,,
T,Taylor Lewan,,,,,
T,Tyron Smith%,,,,,
T,Terron Armstead%,,,,,
TE,Jared Cook+,,,,,
TE,Eric Ebron,,,,,
TE,Austin Hooper+,,,,,
TE,Zach Ertz%,,,,,
TE,George Kittle,,,,,
TE,Travis Kelce%,,,,,
WR,Mike Evans+,,,,,
WR,JuJu Smith-Schuster+,,,,,
WR,Antonio Brown%,,,,,
WR,Adam Thielen,,,,,
WR,Davante Adams,,,,,
WR,Jarvis Landry+,,,,,
WR,Amari Cooper+,,,,,
WR,Keenan Allen,,,,,
WR,Julio Jones%,,,,,
WR,Tyreek Hill,,,,,
WR,Michael Thomas%,,,,,
WR,DeAndre Hopkins%,,,,,
C,Maurkice Pouncey%,,,,,
C,Travis Frederick,,,,,
C,Ryan Kelly,,,,,
C,Rodney Hudson,,,,,
C,Jason Kelce,,,,,
CB,Joe Haden,,,,,
DB,Shaquill Griffin,,,,,
DB,Xavier Rhodes,,,,,
DB,Darius Slay,,,,,
DB,Budda Baker,,,,,
DB,Eddie Jackson,,,,,
DB,Kyle Fuller,,,,,
DB,Jalen Ramsey%,,,,,
DB,Marshon Lattimore%,,,,,
DB,Harrison Smith,,,,,
DB,Marlon Humphrey,,,,,
DB,Richard Sherman%,,,,,
DB,Marcus Peters%,,,,,
DB,Tre'Davious White,,,,,
DB,Minkah Fitzpatrick,,,,,
DB,Jamal Adams,,,,,
DB,Stephon Gilmore,,,,,
DE,Nick Bosa%,,,,,
DE,Melvin Ingram,,,,,
DE,Everson Griffen,,,,,
DE,Frank Clark%,,,,,
DE,Josh Allen,,,,,
DE,Calais Campbell,,,,,
DE,Danielle Hunter,,,,,
DE,Joey Bosa%,,,,,
DE,Cameron Jordan,,,,,
DE,Cameron Heyward,,,,,
DT,Fletcher Cox,,,,,
DT,Jurrell Casey,,,,,
DT,Kenny Clark,,,,,
DT,Chris Jones%,,,,,
DT,Grady Jarrett,,,,,
DT,Aaron Donald%,,,,,
FB,Patrick Ricard,,,,,
FS,Earl Thomas,,,,,
G,David DeCastro%,,,,,
G,Larry Warford,,,,,
G,Trai Turner,,,,,
G,Joel Bitonio,,,,,
G,Brandon Brooks%,,,,,
G,Marshal Yanda,,,,,
G,Zack Martin%,,,,,
G,Quenton Nelson,,,,,
ILB,Shaquille Leonard,,,,,
K,Wil Lutz,,,,,
K,Justin Tucker,,,,,
LB,Dont'a Hightower%,,,,,
LB,Jaylon Smith,,,,,
LB,Khalil Mack%,,,,,
LB,Tremaine Edmunds,,,,,
LB,Luke Kuechly%,,,,,
LB,Shaquil Barrett,,,,,
LB,Za'Darius Smith,,,,,
LB,Eric Kendricks,,,,,
LB,Bobby Wagner%,,,,,
LB,Chandler Jones,,,,,
LS,Morgan Cox,,,,,
LS,Rick Lovato,,,,,
NT,Geno Atkins,,,,,
OLB,Von Miller,,,,,
OLB,Matt Judon,,,,,
OLB,T.J. Watt,,,,,
P,Tress Way,,,,,
P,Brett Kern,,,,,
QB,Ryan Tannehill,,,,,
QB,Drew Brees,,,,,
QB,Kirk Cousins,,,,,
QB,Patrick Mahomes%,,,,,
QB,Deshaun Watson,,,,,
QB,Aaron Rodgers%,,,,,
QB,Russell Wilson,,,,,
QB,Lamar Jackson,,,,,
RB,Kyle Juszczyk%,,,,,
RB,Mark Ingram,,,,,
RB,Alvin Kamara%,,,,,
RB,C.J. Ham,,,,,
RB,Ezekiel Elliott,,,,,
RB,Dalvin Cook,,,,,
RB,Nick Chubb,,,,,
RB,Derrick Henry,,,,,
RB,Christian McCaffrey%,,,,,
T,Brandon Scherff%,,,,,
T,Orlando Brown Jr.,,,,,
T,Trent Brown%,,,,,
T,Lane Johnson,,,,,
T,Andrus Peat,,,,,
T,Terron Armstead,,,,,
T,Tyron Smith,,,,,
T,Laremy Tunsil,,,,,
T,David Bakhtiari%,,,,,
T,Ronnie Stanley,,,,,
TE,Mark Andrews,,,,,
TE,Zach Ertz%,,,,,
TE,Jared Cook,,,,,
TE,Jack Doyle,,,,,
TE,Austin Hooper,,,,,
TE,Travis Kelce%,,,,,
TE,George Kittle%,,,,,
WR,Tyreek Hill%,,,,,
WR,DJ Chark,,,,,
WR,Davante Adams,,,,,
WR,Kenny Golladay,,,,,
WR,Courtland Sutton,,,,,
WR,Amari Cooper,,,,,
WR,Jarvis Landry,,,,,
WR,Mike Evans%,,,,,
WR,Andre Roberts,,,,,
WR,Keenan Allen,,,,,
WR,Mecole Hardman%,,,,,
WR,Chris Godwin%,,,,,
WR,Matthew Slater,,,,,
WR,DeAndre Hopkins%,,,,,
WR,Julio Jones%,,,,,
WR,Cordarrelle Patterson,,,,,
WR,Michael Thomas,,,,,
WR,Deonte Harty,,,,,
